,sentence_id,token_id,semiotic,before,after
63022,3246,45,PLAIN,Atli,Atli
63023,3246,46,PLAIN,Magnússon,Magnússon
63024,3246,47,SPORT,10/7,tíu <sil> sjö
63025,3246,48,PLAIN,fráköst,fráköst
63026,3246,49,PUNCT,",",","
63027,3246,50,PLAIN,Hörður,Hörður
63028,3246,51,PLAIN,Helgi,Helgi
63029,3246,52,PLAIN,Hreiðarsson,Hreiðarsson
63030,3246,53,CARDINAL,6,sex
63031,3246,54,PUNCT,",",","
63032,3246,55,PLAIN,Högni,Högni
63033,3246,56,PLAIN,Fjalarsson,Fjalarsson
63034,3246,57,CARDINAL,2,tvö
63035,3246,58,PUNCT,",",","
63036,3246,59,PLAIN,Illugi,Illugi
63037,3246,60,PLAIN,Steingrímsson,Steingrímsson
63038,3246,61,CARDINAL,2,tvö
63039,3246,62,PUNCT,",",","
63040,3246,63,PLAIN,Þorgeir,Þorgeir
63041,3246,64,PLAIN,Kristinn,Kristinn
63042,3246,65,PLAIN,Blöndal,Blöndal
63043,3246,66,CARDINAL,0,núll
63044,3246,67,PUNCT,",",","
63045,3246,68,PLAIN,Jón,Jón
63046,3246,69,PLAIN,Hrafn,Hrafn
63047,3246,70,PLAIN,Baldvinsson,Baldvinsson
63048,3246,71,CARDINAL,0,núll
63049,3246,72,PUNCT,.,.
63220,3256,0,PLAIN,Eftir,Eftir
63221,3256,1,ORDINAL,3.,þriðja
63222,3256,2,PLAIN,leikhluta,leikhluta
63223,3256,3,PLAIN,stóðu,stóðu
63224,3256,4,PLAIN,leikar,leikar
63225,3256,5,SPORT,74- 62,sjötíu og fjögur sextíu og tvö
63226,3256,6,PLAIN,fyrir,fyrir
63227,3256,7,PLAIN,Njarðvík,Njarðvík
63228,3256,8,PLAIN,og,og
63229,3256,9,PLAIN,náðu,náðu
63230,3256,10,PLAIN,Grindvíkingar,Grindvíkingar
63231,3256,11,PLAIN,sér,sér
63232,3256,12,PLAIN,ekki,ekki
63233,3256,13,PLAIN,á,á
63234,3256,14,PLAIN,strik,strik
63235,3256,15,PLAIN,í,í
63236,3256,16,ORDINAL,4.,fjórða
63237,3256,17,PLAIN,leikhluta,leikhluta
63238,3256,18,PLAIN,og,og
63239,3256,19,PLAIN,fóru,fóru
63240,3256,20,PLAIN,heim,heim
63241,3256,21,PLAIN,með,með
63242,3256,22,CARDINAL,22ja,tuttugu og tveggja
63243,3256,23,PLAIN,stiga,stiga
63244,3256,24,PLAIN,tap,tap
63245,3256,25,PLAIN,og,og
63246,3256,26,PLAIN,annan,annan
63247,3256,27,PLAIN,ósigurinn,ósigurinn
63248,3256,28,PLAIN,í,í
63249,3256,29,PLAIN,Ljónagryfjunni,Ljónagryfjunni
63250,3256,30,PLAIN,í,í
63251,3256,31,PLAIN,röð,röð
63252,3256,32,PUNCT,.,.
65418,3372,0,PLAIN,Fjölnir,Fjölnir
65419,3372,1,SPORT,77-74,sjötíu og sjö sjötíu og fjögur
65420,3372,2,PLAIN,Hamar,Hamar
65421,3372,3,PLAIN,Staðan,Staðan
65422,3372,4,PLAIN,í,í
65423,3372,5,PLAIN,deildinni,deildinni
67766,3494,0,PLAIN,Topplið,Topplið
67767,3494,1,PLAIN,Grindvíkingar,Grindvíkingar
67768,3494,2,PLAIN,vann,vann
67769,3494,3,PLAIN,góðan,góðan
67770,3494,4,SPORT,0-2,núll tvö
67771,3494,5,PLAIN,útisigur,útisigur
67772,3494,6,PLAIN,á,á
67773,3494,7,PLAIN,Fjölni,Fjölni
67774,3494,8,PLAIN,í,í
67775,3494,9,ORDINAL,1.,fyrstu
67776,3494,10,PLAIN,deild,deild
67777,3494,11,PLAIN,kvenna,kvenna
67778,3494,12,PLAIN,í,í
67779,3494,13,PLAIN,fótbolta,fótbolta
67780,3494,14,PUNCT,.,.
69809,3598,0,PLAIN,Keflvíkingar,Keflvíkingar
69810,3598,1,PLAIN,eru,eru
69811,3598,2,PLAIN,yfir,yfir
69812,3598,3,SPORT,51-47,fimmtíu og eitt fjörutíu og sjö
70625,3643,0,PLAIN,Skallagrímur-Grindavík,Skallagrímur-Grindavík
70626,3643,1,SPORT,119-77,hundrað og nítján sjötíu og sjö
70627,3643,2,PUNCT,(,(
70628,3643,3,SPORT,39-12,þrjátíu og níu tólf
70629,3643,4,PUNCT,",",","
70630,3643,5,SPORT,22-28,tuttugu og tvö tuttugu og átta
70631,3643,6,PUNCT,",",","
70632,3643,7,SPORT,36-14,þrjátíu og sex fjórtán
70633,3643,8,PUNCT,",",","
70634,3643,9,SPORT,22-23,tuttugu og tvö tuttugu og þrjú
70635,3643,10,PUNCT,),)
70636,3643,11,PLAIN,Grindavík,Grindavík
70637,3643,12,PUNCT,:,:
70638,3643,13,PLAIN,Petrúnella,Petrúnella
70639,3643,14,PLAIN,Skúladóttir,Skúladóttir
70640,3643,15,SPORT,25/6,tuttugu og fimm <sil> sex
70641,3643,16,PLAIN,fráköst,fráköst
70642,3643,17,PUNCT,",",","
70643,3643,18,PLAIN,Íris,Íris
70644,3643,19,PLAIN,Sverrisdóttir,Sverrisdóttir
70645,3643,20,SPORT,19/7,nítján <sil> sjö
70646,3643,21,PLAIN,fráköst,fráköst
70647,3643,22,PUNCT,",",","
70648,3643,23,PLAIN,María,María
70649,3643,24,PLAIN,Ben,Ben
70650,3643,25,PLAIN,Erlingsdóttir,Erlingsdóttir
70651,3643,26,SPORT,10/7,tíu <sil> sjö
70652,3643,27,PLAIN,fráköst,fráköst
70653,3643,28,SYMB,/,skástrik
70654,3643,29,CARDINAL,5,fimm
70655,3643,30,PLAIN,stoðsendingar,stoðsendingar
70656,3643,31,PUNCT,",",","
70657,3643,32,PLAIN,Vigdís,Vigdís
70658,3643,33,PLAIN,María,María
70659,3643,34,PLAIN,Þórhallsdóttir,Þórhallsdóttir
70660,3643,35,CARDINAL,9,níu
70661,3643,36,PUNCT,",",","
70662,3643,37,PLAIN,Ingunn,Ingunn
70663,3643,38,PLAIN,Embla,Embla
70664,3643,39,PLAIN,Kristínardóttir,Kristínardóttir
70665,3643,40,SPORT,6/6,sex <sil> sex
70666,3643,41,PLAIN,stoðsendingar,stoðsendingar
70667,3643,42,PUNCT,",",","
70668,3643,43,PLAIN,Ólöf,Ólöf
70669,3643,44,PLAIN,Rún,Rún
70670,3643,45,PLAIN,Óladóttir,Óladóttir
70671,3643,46,CARDINAL,5,fimm
70672,3643,47,PUNCT,",",","
70673,3643,48,PLAIN,Hrund,Hrund
70674,3643,49,PLAIN,Skúladóttir,Skúladóttir
70675,3643,50,CARDINAL,3,þrjár
70676,3643,51,PUNCT,",",","
70677,3643,52,PLAIN,Elísabet,Elísabet
70678,3643,53,PLAIN,María,María
70679,3643,54,PLAIN,Magnúsdóttir,Magnúsdóttir
70680,3643,55,CARDINAL,0,núll
70681,3643,56,PUNCT,",",","
70682,3643,57,PLAIN,Angela,Angela
70683,3643,58,PLAIN,Björg,Björg
70684,3643,59,PLAIN,Steingrímsdóttir,Steingrímsdóttir
70685,3643,60,CARDINAL,0,núll
70686,3643,61,PUNCT,",",","
70687,3643,62,PLAIN,Ashley,Ashley
70688,3643,63,PLAIN,Grimes,Grimes
70689,3643,64,CARDINAL,0,núll
70690,3643,65,PUNCT,.,.
70940,3657,0,PLAIN,Viðureignin,Viðureignin
70941,3657,1,PLAIN,þar,þar
70942,3657,2,PLAIN,á,á
70943,3657,3,PLAIN,milli,milli
70944,3657,4,PLAIN,stóð,stóð
70945,3657,5,PLAIN,í,í
70946,3657,6,PLAIN,ljósum,ljósum
70947,3657,7,PLAIN,logum,logum
70948,3657,8,PLAIN,um,um
70949,3657,9,PLAIN,miðbik,miðbik
70950,3657,10,PLAIN,skákanna,skákanna
70951,3657,11,PLAIN,og,og
70952,3657,12,PLAIN,erfitt,erfitt
70953,3657,13,PLAIN,að,að
70954,3657,14,PLAIN,sjá,sjá
70955,3657,15,PLAIN,hvert,hvert
70956,3657,16,PLAIN,stefndi,stefndi
70957,3657,17,PUNCT,",",","
70958,3657,18,PLAIN,en,en
70959,3657,19,PLAIN,að,að
70960,3657,20,PLAIN,lokum,lokum
70961,3657,21,PLAIN,vann,vann
70962,3657,22,LETTERS,SR-A,S R A
70963,3657,23,PLAIN,stórsigur,stórsigur
70964,3657,24,SPORT,5-1,fimm eitt
70965,3657,25,PUNCT,.,.
71890,3713,0,PLAIN,Grindavík,Grindavík
71891,3713,1,PLAIN,jafnaði,jafnaði
71892,3713,2,PLAIN,metin,metin
71893,3713,3,PLAIN,í,í
71894,3713,4,PLAIN,stöðunni,stöðunni
71895,3713,5,SPORT,83-83,áttatíu og þrjú áttatíu og þrjú
71896,3713,6,PLAIN,og,og
71897,3713,7,PLAIN,skömmu,skömmu
71898,3713,8,PLAIN,áður,áður
71899,3713,9,PLAIN,hafði,hafði
71900,3713,10,PLAIN,Petrúnella,Petrúnella
71901,3713,11,PLAIN,Skúladóttir,Skúladóttir
71902,3713,12,PLAIN,fengið,fengið
71903,3713,13,PLAIN,sína,sína
71904,3713,14,PLAIN,fimmtu,fimmtu
71905,3713,15,PLAIN,villu,villu
71906,3713,16,PLAIN,í,í
71907,3713,17,PLAIN,liði,liði
71908,3713,18,PLAIN,Grindavíkur,Grindavíkur
71909,3713,19,PUNCT,.,.
71954,3718,0,PLAIN,Viktor,Viktor
71955,3718,1,PLAIN,kom,kom
71956,3718,2,PLAIN,Njarðvík,Njarðvík
71957,3718,3,PLAIN,í,í
71958,3718,4,SPORT,3-0,þrjú núll
71959,3718,5,PLAIN,áður,áður
71960,3718,6,PLAIN,en,en
71961,3718,7,PLAIN,Agnar,Agnar
71962,3718,8,PLAIN,Darri,Darri
71963,3718,9,PLAIN,Sverrisson,Sverrisson
71964,3718,10,PLAIN,minnkaði,minnkaði
71965,3718,11,PLAIN,muninn,muninn
71966,3718,12,PLAIN,fyrir,fyrir
71967,3718,13,PLAIN,Magna,Magna
71968,3718,14,PLAIN,stuttu,stuttu
71969,3718,15,PLAIN,fyrir,fyrir
71970,3718,16,PLAIN,leikslok,leikslok
71971,3718,17,PUNCT,.,.
72732,3757,0,PLAIN,Nándarverðlaun,Nándarverðlaun
72733,3757,1,PLAIN,á,á
72734,3757,2,SPORT,4./17.,fjórðu og sautjándu
72735,3757,3,PLAIN,holu,holu
72736,3757,4,PLAIN,fékk,fékk
72737,3757,5,PLAIN,Vilhelm,Vilhelm
72738,3757,6,PLAIN,Jónsson,Jónsson
72739,3757,7,PLAIN,með,með
72740,3757,8,MEASURE,"1,41m",eins komma fjögurra eins metra
72741,3757,9,PLAIN,Nándarverðlaun,Nándarverðlaun
72742,3757,10,PLAIN,á,á
72743,3757,11,ORDINAL,8.,áttundu
72744,3757,12,PLAIN,holu,holu
72745,3757,13,PLAIN,fékk,fékk
72746,3757,14,PLAIN,Atli,Atli
72747,3757,15,PLAIN,Þór,Þór
72748,3757,16,PLAIN,Karlsson,Karlsson
72749,3757,17,PLAIN,með,með
72750,3757,18,MEASURE,"2,57m",tvo komma fimm sjö metra
72751,3757,19,PLAIN,Nándarverðlaun,Nándarverðlaun
72752,3757,20,PLAIN,á,á
72753,3757,21,ORDINAL,13.,þrettándu
72754,3757,22,PLAIN,holu,holu
72755,3757,23,PLAIN,fékk,fékk
72756,3757,24,PLAIN,Leifur,Leifur
72757,3757,25,PLAIN,Guðjónsson,Guðjónsson
72758,3757,26,PLAIN,með,með
72759,3757,27,MEASURE,"4,60m",fjóra komma sex núll metra
72760,3757,28,PLAIN,Mynd,Mynd
72761,3757,29,PLAIN,að,að
72762,3757,30,PLAIN,ofan,ofan
72763,3757,31,PUNCT,:,:
72764,3757,32,PLAIN,Séð,Séð
72765,3757,33,PLAIN,yfir,yfir
72766,3757,34,PLAIN,hluta,hluta
72767,3757,35,PLAIN,Húsastóftavallar,Húsastóftavallar
72768,3757,36,PUNCT,.,.
74805,3870,0,PLAIN,Keflavík-Haukar,Keflavík-Haukar
74806,3870,1,SPORT,82-68,áttatíu og tvö sextíu og átta
74807,3870,2,PUNCT,(,(
74808,3870,3,SPORT,19-6,nítján sex
74809,3870,4,PUNCT,",",","
74810,3870,5,SPORT,22-19,tuttugu og tvö nítján
74811,3870,6,PUNCT,",",","
74812,3870,7,SPORT,20-22,tuttugu tuttugu og tvö
74813,3870,8,PUNCT,",",","
74814,3870,9,SPORT,21-21,tuttugu og eitt tuttugu og eitt
74815,3870,10,PUNCT,),)
75085,3883,0,PLAIN,Eitthvað,Eitthvað
75086,3883,1,PLAIN,löguðu,löguðu
75087,3883,2,PLAIN,þeir,þeir
75088,3883,3,PLAIN,grænu,grænu
75089,3883,4,PLAIN,stöðuna,stöðuna
75090,3883,5,PLAIN,fyrir,fyrir
75091,3883,6,PLAIN,hálfleik,hálfleik
75092,3883,7,PLAIN,en,en
75093,3883,8,PLAIN,engu,engu
75094,3883,9,PLAIN,að,að
75095,3883,10,PLAIN,síður,síður
75096,3883,11,PLAIN,leiddu,leiddu
75097,3883,12,PLAIN,gestirnir,gestirnir
75098,3883,13,PLAIN,frá,frá
75099,3883,14,PLAIN,Hafnarfirði,Hafnarfirði
75100,3883,15,SPORT,37- 43,þrjátíu og sjö fjörutíu og þrjú
75101,3883,16,PLAIN,í,í
75102,3883,17,PLAIN,hálfleik,hálfleik
75103,3883,18,PUNCT,.,.
77071,3999,0,LETTERS,KR,K R
77072,3999,1,PUNCT,:,:
77073,3999,2,PLAIN,Michael,Michael
77074,3999,3,PLAIN,Craion,Craion
77075,3999,4,SPORT,29/18,tuttugu og níu <sil> átján
77076,3999,5,PLAIN,fráköst,fráköst
77077,3999,6,PUNCT,",",","
77078,3999,7,PLAIN,Björn,Björn
77079,3999,8,PLAIN,Kristjánsson,Kristjánsson
77080,3999,9,SPORT,15/7,fimmtán <sil> sjö
77081,3999,10,PLAIN,fráköst,fráköst
77082,3999,11,PUNCT,",",","
77083,3999,12,PLAIN,Darri,Darri
77084,3999,13,PLAIN,Hilmarsson,Hilmarsson
77085,3999,14,SPORT,14/4,fjórtán <sil> fjögur
77086,3999,15,PLAIN,fráköst,fráköst
77087,3999,16,PUNCT,",",","
77088,3999,17,PLAIN,Finnur,Finnur
77089,3999,18,PLAIN,Atli,Atli
77090,3999,19,PLAIN,Magnússon,Magnússon
77091,3999,20,SPORT,9/6,níu <sil> sex
77092,3999,21,PLAIN,fráköst,fráköst
77093,3999,22,PUNCT,",",","
77094,3999,23,PLAIN,Brynjar,Brynjar
77095,3999,24,PLAIN,Þór,Þór
77096,3999,25,PLAIN,Björnsson,Björnsson
77097,3999,26,CARDINAL,9,níu
77098,3999,27,PUNCT,",",","
77099,3999,28,PLAIN,Helgi,Helgi
77100,3999,29,PLAIN,Már,Már
77101,3999,30,PLAIN,Magnússon,Magnússon
77102,3999,31,SPORT,8/5,átta <sil> fimm
77103,3999,32,PLAIN,fráköst,fráköst
77104,3999,33,PUNCT,",",","
77105,3999,34,PLAIN,Illugi,Illugi
77106,3999,35,PLAIN,Auðunsson,Auðunsson
77107,3999,36,CARDINAL,5,fimm
77108,3999,37,PUNCT,",",","
77109,3999,38,PLAIN,Þórir,Þórir
77110,3999,39,PLAIN,Guðmundur,Guðmundur
77111,3999,40,PLAIN,Þorbjarnarsson,Þorbjarnarsson
77112,3999,41,CARDINAL,2,tvX
77113,3999,42,PUNCT,",",","
77114,3999,43,PLAIN,Þorgeir,Þorgeir
77115,3999,44,PLAIN,Kristinn,Kristinn
77116,3999,45,PLAIN,Blöndal,Blöndal
77117,3999,46,CARDINAL,1,eitt
77118,3999,47,PUNCT,",",","
77119,3999,48,PLAIN,Illugi,Illugi
77120,3999,49,PLAIN,Steingrímsson,Steingrímsson
77121,3999,50,CARDINAL,0,núll
77122,3999,51,PUNCT,",",","
77123,3999,52,PLAIN,Högni,Högni
77124,3999,53,PLAIN,Fjalarsson,Fjalarsson
77125,3999,54,CARDINAL,0,núll
77126,3999,55,PUNCT,",",","
77127,3999,56,PLAIN,Vilhjálmur,Vilhjálmur
77128,3999,57,PLAIN,Kári,Kári
77129,3999,58,PLAIN,Jensson,Jensson
77130,3999,59,CARDINAL,0,núll
77131,3999,60,PUNCT,.,.
78205,4057,0,PLAIN,Ingvar,Ingvar
78206,4057,1,PLAIN,kom,kom
78207,4057,2,PLAIN,inn,inn
78208,4057,3,PLAIN,fyrir,fyrir
78209,4057,4,PLAIN,Ögmund,Ögmund
78210,4057,5,PLAIN,Kristinsson,Kristinsson
78211,4057,6,PLAIN,í,í
78212,4057,7,SPORT,2-3,tvö þrjú
78213,4057,8,PLAIN,sigri,sigri
78214,4057,9,PLAIN,Íslands,Íslands
78215,4057,10,PLAIN,gegn,gegn
78216,4057,11,PLAIN,Norðmönnum,Norðmönnum
78217,4057,12,PLAIN,í,í
78218,4057,13,PLAIN,Noregi,Noregi
78219,4057,14,PUNCT,.,.
78391,4066,0,PLAIN,Þegar,Þegar
78392,4066,1,PLAIN,rúmar,rúmar
78393,4066,2,CARDINAL,20,tuttugu
78394,4066,3,PLAIN,mínútur,mínútur
78395,4066,4,PLAIN,voru,voru
78396,4066,5,PLAIN,til,til
78397,4066,6,PLAIN,leiksloka,leiksloka
78398,4066,7,PLAIN,virtist,virtist
78399,4066,8,PLAIN,sem,sem
78400,4066,9,PLAIN,svo,svo
78401,4066,10,PLAIN,að,að
78402,4066,11,PLAIN,Frans,Frans
78403,4066,12,PLAIN,Elvarsson,Elvarsson
78404,4066,13,PLAIN,hefði,hefði
78405,4066,14,PLAIN,tryggt,tryggt
78406,4066,15,PLAIN,Keflvíkingum,Keflvíkingum
78407,4066,16,SPORT,2-4,tvö fjögur
78408,4066,17,PLAIN,sigur,sigur
78409,4066,18,PLAIN,með,með
78410,4066,19,PLAIN,góðu,góðu
78411,4066,20,PLAIN,marki,marki
78412,4066,21,PUNCT,.,.
78518,4074,0,PLAIN,Með,Með
78519,4074,1,PLAIN,miklum,miklum
78520,4074,2,PLAIN,dugnaði,dugnaði
78521,4074,3,PLAIN,og,og
78522,4074,4,PLAIN,eljusemi,eljusemi
78523,4074,5,PLAIN,í,í
78524,4074,6,PLAIN,fjórða,fjórða
78525,4074,7,PLAIN,leikhluta,leikhluta
78526,4074,8,PLAIN,tókst,tókst
78527,4074,9,PLAIN,Keflavíkurstúlkum,Keflavíkurstúlkum
78528,4074,10,PLAIN,að,að
78529,4074,11,PLAIN,snúa,snúa
78530,4074,12,PLAIN,leiknum,leiknum
78531,4074,13,PLAIN,sér,sér
78532,4074,14,PLAIN,í,í
78533,4074,15,PLAIN,hag,hag
78534,4074,16,PLAIN,og,og
78535,4074,17,PLAIN,innbyrða,innbyrða
78536,4074,18,CARDINAL,11,ellefu
78537,4074,19,PLAIN,stiga,stiga
78538,4074,20,PLAIN,sigur,sigur
78539,4074,21,PUNCT,",",","
78540,4074,22,SPORT,34 - 23,þrjátíu og fjögur tuttugu og þrjú
78541,4074,23,PUNCT,.,.
78981,4098,0,PLAIN,Lokatölur,Lokatölur
78982,4098,1,PLAIN,leiksins,leiksins
78983,4098,2,PLAIN,urðu,urðu
78984,4098,3,SPORT,73-64,sjötíu og þrjú sextíu og fjögur
78985,4098,4,PUNCT,.,.
79198,4113,0,PLAIN,Staðan,Staðan
79199,4113,1,PLAIN,var,var
79200,4113,2,SPORT,36-66,þrjátíu og sex sextíu og sex
79201,4113,3,PLAIN,fyrir,fyrir
79202,4113,4,PLAIN,Keflavík,Keflavík
79203,4113,5,PLAIN,þegar,þegar
79204,4113,6,ORDINAL,4.,fjórði
79205,4113,7,PLAIN,leikhluti,leikhluti
79206,4113,8,PLAIN,hófst,hófst
79207,4113,9,PLAIN,og,og
79208,4113,10,PLAIN,ljóst,ljóst
79209,4113,11,PLAIN,að,að
79210,4113,12,PLAIN,ekkert,ekkert
79211,4113,13,PLAIN,minna,minna
79212,4113,14,PLAIN,en,en
79213,4113,15,PLAIN,kraftaverk,kraftaverk
79214,4113,16,PLAIN,þyrfti,þyrfti
79215,4113,17,PLAIN,til,til
79216,4113,18,PLAIN,þess,þess
79217,4113,19,PLAIN,að,að
79218,4113,20,PLAIN,bjarga,bjarga
79219,4113,21,PLAIN,Njarðvíkingum,Njarðvíkingum
79220,4113,22,PUNCT,.,.
79923,4150,0,PLAIN,Staðan,Staðan
79924,4150,1,PLAIN,í,í
79925,4150,2,PLAIN,leikhléi,leikhléi
79926,4150,3,PLAIN,var,var
79927,4150,4,SPORT,31-41,þrjátíu og eitt fjörutíu og eitt
79928,4150,5,PLAIN,þar,þar
79929,4150,6,PLAIN,sem,sem
79930,4150,7,PLAIN,Pálína,Pálína
79931,4150,8,PLAIN,var,var
79932,4150,9,PLAIN,komin,komin
79933,4150,10,PLAIN,með,með
79934,4150,11,CARDINAL,12,tólf
79935,4150,12,PLAIN,stig,stig
79936,4150,13,PLAIN,hjá,hjá
79937,4150,14,PLAIN,Keflavík,Keflavík
79938,4150,15,PLAIN,og,og
79939,4150,16,PLAIN,Futrell,Futrell
79940,4150,17,CARDINAL,16,sextán
79941,4150,18,PLAIN,hjá,hjá
79942,4150,19,LETTERS,KR,K R
79943,4150,20,PUNCT,.,.
81190,4210,0,PLAIN,Keflavík-Haukar,Keflavík-Haukar
81191,4210,1,SPORT,82-61,áttatíu og tvö sextíu og eitt
81192,4210,2,PUNCT,(,(
81193,4210,3,SPORT,18-14,átján fjórtán
81194,4210,4,PUNCT,",",","
81195,4210,5,DATE,19-16,nítján sextán
81196,4210,6,PUNCT,",",","
81197,4210,7,SPORT,20-21,tuttugu tuttugu og eitt
81198,4210,8,PUNCT,",",","
81199,4210,9,SPORT,25-10,tuttugu og fimm tíu
81200,4210,10,PUNCT,),)
81201,4210,11,PLAIN,Keflavík,Keflavík
81202,4210,12,PUNCT,:,:
81203,4210,13,PLAIN,Erna,Erna
81204,4210,14,PLAIN,Hákonardóttir,Hákonardóttir
81205,4210,15,SPORT,14/4,fjórtán <sil> fjögur
81206,4210,16,PLAIN,fráköst,fráköst
81207,4210,17,PUNCT,",",","
81208,4210,18,PLAIN,Ariana,Ariana
81209,4210,19,PLAIN,Moorer,Moorer
81210,4210,20,SPORT,12/9,tólf <sil> níu
81211,4210,21,PLAIN,fráköst,fráköst
81212,4210,22,SYMB,/,skástrik
81213,4210,23,CARDINAL,9,níu
81214,4210,24,PLAIN,stoðsendingar,stoðsendingar
81215,4210,25,PUNCT,",",","
81216,4210,26,PLAIN,Birna,Birna
81217,4210,27,PLAIN,Valgerður,Valgerður
81218,4210,28,PLAIN,Benónýsdóttir,Benónýsdóttir
81219,4210,29,SPORT,12/4,tólf <sil> fjögur
81220,4210,30,PLAIN,fráköst,fráköst
81221,4210,31,PUNCT,",",","
81222,4210,32,PLAIN,Emelía,Emelía
81223,4210,33,PLAIN,Ósk,Ósk
81224,4210,34,PLAIN,Gunnarsdóttir,Gunnarsdóttir
81225,4210,35,SPORT,11/4,ellefu <sil> fjögur
81226,4210,36,PLAIN,fráköst,fráköst
81227,4210,37,PUNCT,",",","
81228,4210,38,PLAIN,Katla,Katla
81229,4210,39,PLAIN,Rún,Rún
81230,4210,40,PLAIN,Garðarsdóttir,Garðarsdóttir
81231,4210,41,CARDINAL,10,tíu
81232,4210,42,PUNCT,",",","
81233,4210,43,PLAIN,Þóranna,Þóranna
81234,4210,44,PLAIN,Kika,Kika
81235,4210,45,PLAIN,Hodge-Carr,Hodge-Carr
81236,4210,46,SPORT,7/5,sjö <sil> fimm
81237,4210,47,PLAIN,fráköst,fráköst
81238,4210,48,PUNCT,",",","
81239,4210,49,PLAIN,Svanhvít,Svanhvít
81240,4210,50,PLAIN,Ósk,Ósk
81241,4210,51,PLAIN,Snorradóttir,Snorradóttir
81242,4210,52,SPORT,5/5,fimm <sil> fimm
81243,4210,53,PLAIN,fráköst,fráköst
81244,4210,54,PUNCT,",",","
81245,4210,55,PLAIN,Thelma,Thelma
81246,4210,56,PLAIN,Dís,Dís
81247,4210,57,PLAIN,Ágústsdóttir,Ágústsdóttir
81248,4210,58,SPORT,4/6,fjögur <sil> sex
81249,4210,59,PLAIN,fráköst,fráköst
81250,4210,60,PUNCT,",",","
81251,4210,61,PLAIN,Salbjörg,Salbjörg
81252,4210,62,PLAIN,Ragna,Ragna
81253,4210,63,PLAIN,Sævarsdóttir,Sævarsdóttir
81254,4210,64,SPORT,3/4,þrjú <sil> fjögur
81255,4210,65,PLAIN,varin,varin
81256,4210,66,PLAIN,skot,skot
81257,4210,67,PUNCT,",",","
81258,4210,68,PLAIN,Elsa,Elsa
81259,4210,69,PLAIN,Albertsdóttir,Albertsdóttir
81260,4210,70,CARDINAL,2,tvö
81261,4210,71,PUNCT,",",","
81262,4210,72,PLAIN,Irena,Irena
81263,4210,73,PLAIN,Sól,Sól
81264,4210,74,PLAIN,Jónsdóttir,Jónsdóttir
81265,4210,75,CARDINAL,5,fimm
81266,4210,76,PLAIN,stoðsendingar,stoðsendingar
81267,4210,77,PUNCT,",",","
81268,4210,78,PLAIN,Tinna,Tinna
81269,4210,79,PLAIN,Björg,Björg
81270,4210,80,PLAIN,Gunnarsdóttir,Gunnarsdóttir
81271,4210,81,CARDINAL,0,núll
81272,4210,82,PUNCT,.,.
81433,4220,0,PLAIN,Úrvalsliðið,Úrvalsliðið
81434,4220,1,PLAIN,hafði,hafði
81435,4220,2,PLAIN,sigur,sigur
81436,4220,3,PLAIN,í,í
81437,4220,4,PLAIN,kvennaflokki,kvennaflokki
81438,4220,5,SPORT,78-100,sjötíu og átta hundrað
81439,4220,6,PLAIN,og,og
81440,4220,7,PLAIN,höfðu,höfðu
81441,4220,8,PLAIN,þar,þar
81442,4220,9,PLAIN,nokkra,nokkra
81443,4220,10,PLAIN,yfirburði,yfirburði
81444,4220,11,PLAIN,en,en
81445,4220,12,PLAIN,landsliðið,landsliðið
81446,4220,13,PLAIN,lék,lék
81447,4220,14,PLAIN,án,án
81448,4220,15,CARDINAL,2,tveggja
81449,4220,16,PLAIN,sterkra,sterkra
81450,4220,17,PLAIN,leikmanna,leikmanna
81451,4220,18,PUNCT,",",","
81452,4220,19,PLAIN,þeirra,þeirra
81453,4220,20,PLAIN,Maríu,Maríu
81454,4220,21,PLAIN,Ben,Ben
81455,4220,22,PLAIN,Erlingsdóttur,Erlingsdóttur
81456,4220,23,PLAIN,og,og
81457,4220,24,PLAIN,Helenu,Helenu
81458,4220,25,PLAIN,Sverrisdóttur,Sverrisdóttur
81459,4220,26,PLAIN,en,en
81460,4220,27,PLAIN,þær,þær
81461,4220,28,PLAIN,stunda,stunda
81462,4220,29,PLAIN,nám,nám
81463,4220,30,PLAIN,í,í
81464,4220,31,PLAIN,Bandaríkjunum,Bandaríkjunum
81465,4220,32,PUNCT,.,.
82545,4283,0,SPORT,33-22,þrjátíu og þrjú tuttugu og tvö
82546,4283,1,PLAIN,var,var
82547,4283,2,PLAIN,staðan,staðan
82548,4283,3,PUNCT,.,.
83069,4318,0,PLAIN,Upp,Upp
83070,4318,1,PLAIN,hófst,hófst
83071,4318,2,PLAIN,skemmtilegur,skemmtilegur
83072,4318,3,PLAIN,lokasprettur,lokasprettur
83073,4318,4,PLAIN,þar,þar
83074,4318,5,PLAIN,sem,sem
83075,4318,6,PLAIN,téður,téður
83076,4318,7,PLAIN,Baldur,Baldur
83077,4318,8,PLAIN,kom,kom
83078,4318,9,PLAIN,Þór,Þór
83079,4318,10,PLAIN,í,í
83080,4318,11,SPORT,62-65,sextíu og tvö sextíu og fimm
83081,4318,12,PLAIN,með,með
83082,4318,13,CARDINAL,3,þriggja
83083,4318,14,PLAIN,stiga,stiga
83084,4318,15,PLAIN,körfu,körfu
83085,4318,16,PUNCT,.,.
84166,4377,0,PLAIN,Snæfell,Snæfell
84167,4377,1,PLAIN,komst,komst
84168,4377,2,PLAIN,í,í
